Name,Link,"password
",有效性
1960-1990年代国产动画片(高清) 珍藏精品 全84部 视频合集,https://pan.baidu.com/s/1c2nm6rQ,"sjsq
",链接无效
2011版SSH框架视频教学【项目实战-校内网】附源码.关系图.数据库 主讲-韩顺平 完全版 视频教程,https://pan.baidu.com/s/1mh9GCrQ,"aoyd
",链接无效
9部汽车驾照考试完整版视频教程 共8.5G文件,https://pan.baidu.com/s/1boZb0QF,"lun2
",链接无效
Altium Designer6.9 PCB设计教程 全31讲 主讲-郭天祥 视频教程,https://pan.baidu.com/s/1mi8AQQc,"e5o8
",链接无效
AutoForm视频教程及书籍教程大合集 8G文件 教程资源,https://pan.baidu.com/s/1cps2oY,"k381
",链接无效
C++快速入门视频教学 全48讲 完整版 主讲-小甲鱼 附课件 视频教程.rar,https://pan.baidu.com/s/1hsNCl1a,"k5d1
",链接无效
C语言视频教学 主讲-郝斌 全180讲 完整版 附代码.笔记.大纲 视频教程,https://pan.baidu.com/s/1dF8PgqP,"ednd
",链接无效
delphi视频教学 完整版 主讲-小甲鱼 视频教程,https://pan.baidu.com/s/1hs9zdqs,"210d
",链接无效
Excel实战技巧精粹：Excel模板大全1000例,https://pan.baidu.com/s/1eRWnz1K,"lv6v
",链接无效
Java视频教学 全107讲 完整版 主讲-郝斌 附源代码.课件 视频教程,https://pan.baidu.com/s/1c2B9elq,"n88h
",链接无效
Photoshop软件 超实用修图调色集合  全172讲 视频教程,https://pan.baidu.com/s/1jI1Tvim,"q65c
",链接无效
PHP从入门到精通掌握网站核心技术 全149讲 主讲-韩顺平 附笔记 视频教程,https://pan.baidu.com/s/1nv3Pg2P,"l8lw
",链接无效
PHP培训第二版完整版视频教学 大型门户网站核心技术-Mysql优化 主讲-韩顺平 视频教程,https://pan.baidu.com/s/1dFli8s5,"jodq
",链接无效
proteus入门到精通 全29集 视频教程,https://pan.baidu.com/s/1i45IZiP,"ab9x
",链接无效
spring视频教学讲座 全28讲 主讲-韩顺平 附笔记-图解-代码-开发包 视频教程,https://pan.baidu.com/s/1eR9mN8u,"2vxb
",链接无效
Université de Paris-Sud XI cAMP信号和兴奋收缩耦联的磷酸二酯酶控制 全3讲 主讲-Rodolphe 视频教程,https://pan.baidu.com/s/1geKGgev,"k53d
",链接无效
WIN32汇编语言视频教学 全56讲 完整版 主讲-小甲鱼 视频教程,https://pan.baidu.com/s/1i49gKIT,"2hs6
",链接无效
【诗词曲】包含各种诗词合辑.类编.赏析及辞书 全156本 书籍资源,https://pan.baidu.com/s/1qYiergC,"7unl
",链接无效
安徽安庆四中 “大家”的小故事 全1讲 主讲-梁峰 视频教程,https://pan.baidu.com/s/1i5KmtHN,"1k0c
",链接无效
安徽大学 “独断之学”与“考索之功”-关于治学与论文写作的几点意见 全3讲 主讲-孙以昭 视频教程,https://pan.baidu.com/s/1slaAJTF,"gf1q
",链接无效
安徽大学 传统和谐文化与当代幸福人生 全4讲 主讲-李霞 视频教程,https://pan.baidu.com/s/1qYT1y9m,"66lv
",链接无效
安徽大学 从徽州谱牒看宗族的基本特征 全3讲 主讲-赵华富 视频教程,https://pan.baidu.com/s/1pKFGid9,"cyrf
",链接无效
安徽大学 徽学概论 全12讲 主讲-卞利 视频教程,https://pan.baidu.com/s/1c17paQO,"iyun
",链接无效
安徽大学 治学方法与学位论文写作 全4讲 主讲-白兆麟 视频教程,https://pan.baidu.com/s/1mhNTHDu,"hqf2
",链接无效
安徽淮南市实验中学 诚信伴我行 全1讲 主讲-宋景凤 视频教程,https://pan.baidu.com/s/1jHYhkKQ,"kyc3
",链接无效
安徽省安庆市怀宁中学 培养自信 走向成功 全1讲 主讲-王志强 视频教程,https://pan.baidu.com/s/1gePzOpP,"ajo8
",链接无效
巴黎高等商学院 会计与管理控制常见问题 全12讲 视频教程,https://pan.baidu.com/s/1hsOsbEO,"uc4t
",链接无效
北方交通大学 诚为试金石-信是金钥匙 全1讲 主讲-卜英春 视频教程,https://pan.baidu.com/s/1c1KMpnM,"2p9k
",链接无效
北京城市学院 市场营销 全1讲 主讲-钱芹茹 视频教程,https://pan.baidu.com/s/1pK8o3rl,"ix2q
",链接无效
北京大学 21世纪的地理学 全5讲 主讲-王恩涌 视频教程,https://pan.baidu.com/s/1pKPP2XX,"yvt6
",链接无效
北京大学 70年代新自由主义的兴起 全4讲 主讲-王利军 视频教程,https://pan.baidu.com/s/1kUG4vfL,"bd26
",链接无效
北京大学 Aberrant neuroligin function in autism 全2讲 主讲-张晨 视频教程,https://pan.baidu.com/s/1pLHYz5x,"ama2
",链接无效
北京大学 ccs与过程工业节能减排新技术 全5讲 主讲-袁章福 视频教程,https://pan.baidu.com/s/1eSNGroY,"wmvd
",链接无效
北京大学 Chemical Biology-Chemical Opportunities in Genomics and Drug Discovery 全4讲 视频教程,https://pan.baidu.com/s/1nvkm2gh,"rzx3
",链接无效
